City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,floro,61.5996,5.0328,12.91,87,100,4.63,NO,1687492072
84,bassila,9.0081,1.6654,21.62,88,85,0.3,BJ,1687492072
85,sept-iles,50.2001,-66.3821,16.24,81,100,1.03,CA,1687492073
86,alice springs,-23.7,133.8833,18.75,26,24,1.54,AU,1687491910
87,avarua,-21.2078,-159.775,26.03,94,75,6.69,CK,1687492074
88,kargasok,59.0556,80.8572,8.23,71,100,5.46,RU,1687492074
89,lake havasu city,34.4839,-114.3224,34.34,7,0,8.75,US,1687492074
90,wickenburg,33.9686,-112.7296,29.55,10,0,5.08,US,1687492075
91,sukhinichi,54.0999,35.3425,16.86,95,100,2.49,RU,1687492075
92,spassk,52.747,87.7545,17.03,52,81,3.47,RU,1687492075
93,haiku-pauwela,20.9219,-156.3051,28.01,67,40,10.8,US,1687492075
94,saipan,15.1355,145.701,33.39,100,20,7.72,MP,1687492075
95,jamestown,42.097,-79.2353,20.77,83,100,3.6,US,1687492032
96,albany,42.6001,-73.9662,18.36,83,96,1.19,US,1687491927
97,crozon,48.2464,-4.4899,15.06,94,98,1.54,FR,1687492076
98,nuku'alofa,-21.1333,-175.2,24.19,78,20,5.14,TO,1687492076
99,lardero,42.4269,-2.4615,14.4,94,0,2.57,ES,1687492077
100,maputo,-25.9653,32.5892,15.82,81,40,3.13,MZ,1687492077
101,north platte,41.1239,-100.7654,20.62,86,0,3.09,US,1687492077
102,urangan,-25.3,152.9,24.0,70,29,7.16,AU,1687492078
103,trondheim,63.4305,10.3951,13.03,85,100,0.45,NO,1687492067
104,espumoso,-28.7247,-52.8497,16.42,97,97,2.95,BR,1687492078
105,kudahuvadhoo,2.6708,72.8944,28.21,76,100,5.78,MV,1687492078
106,la passe,45.5549,-0.8967,17.77,86,31,1.44,FR,1687492079
107,aioun,16.6614,-9.6149,34.38,28,6,4.54,MR,1687492079
108,garoowe,8.4054,48.4845,24.45,63,18,10.05,SO,1687492079
109,vorkuta,67.5,64.0,4.67,63,99,5.42,RU,1687492080
110,nemuro,43.3236,145.575,13.43,87,100,2.64,JP,1687492080
111,donggang,28.9365,114.2259,21.21,93,100,0.52,CN,1687492080
112,laguna,38.421,-121.4238,19.86,67,0,5.66,US,1687492081
113,west island,-12.1568,96.8225,27.99,78,75,4.63,CC,1687492081
114,cruzeiro do sul,-29.5128,-51.9853,18.06,94,98,0.58,BR,1687492081
115,pariaman,-0.619,100.12,29.03,80,40,2.89,ID,1687492081
116,nar'yan-mar,67.6713,53.087,9.42,66,63,3.37,RU,1687491880
117,port mathurin,-19.6833,63.4167,23.25,62,100,7.35,MU,1687492082
118,lompoc,34.6391,-120.4579,15.99,87,40,3.09,US,1687492082
119,san antonio de pale,-1.4014,5.6325,22.84,78,30,5.48,GQ,1687492082
120,saynshand,44.8824,110.1163,35.68,12,53,5.1,MN,1687492083
121,mangalia,43.8,28.5833,20.99,74,0,1.17,RO,1687492083
122,whitehorse,60.7161,-135.0538,25.17,31,75,3.6,CA,1687492083
123,porto novo,6.4965,2.6036,25.9,92,71,2.36,BJ,1687492083
124,lebu,-37.6167,-73.65,12.38,96,100,4.84,CL,1687492083
125,santo antonio do ica,-3.1022,-67.9397,22.69,98,100,0.06,BR,1687492084
126,mirnyy,62.5353,113.9611,22.55,42,100,3.5,RU,1687492084
127,basco,20.4487,121.9702,28.5,78,79,2.81,PH,1687492085
128,mount pearl,47.5166,-52.7813,15.81,80,100,5.66,CA,1687492085
129,hermanus,-34.4187,19.2345,10.45,66,0,2.93,ZA,1687492085
130,kamina,-8.7386,24.9906,14.01,49,0,1.82,CD,1687492085
131,selfoss,63.9331,-20.9971,12.8,97,100,6.69,IS,1687492085
132,forster,-32.1667,152.5167,19.65,60,4,5.85,AU,1687492086
133,fale old settlement,-9.3852,-171.2468,28.09,73,42,3.99,TK,1687492086
134,gadzhiyevo,69.2551,33.3362,15.71,57,10,3.93,RU,1687492086
135,horta,38.5333,-28.6333,20.57,96,100,5.81,PT,1687492086
136,jayapura,-2.5333,140.7,29.66,77,89,2.0,ID,1687492086
137,oriximina,-1.7656,-55.8661,23.01,95,61,1.7,BR,1687492087
138,port shepstone,-30.7414,30.455,12.44,71,38,2.84,ZA,1687492087
139,ghat,24.9647,10.1728,26.04,21,0,1.63,LY,1687492088
140,isafjordur,66.0755,-23.124,9.69,86,100,3.5,IS,1687492088
141,salobrena,36.7428,-3.5872,24.15,77,0,1.83,ES,1687492088
142,pampas,-12.4,-74.9,7.23,91,14,0.38,PE,1687492089
143,luebo,-5.35,21.4167,22.64,72,86,0.53,CD,1687492089
144,constantia,44.1833,28.65,19.38,71,0,1.52,RO,1687491884
145,trino,45.1921,8.2961,21.58,83,49,2.17,IT,1687492089
146,malvan,16.0667,73.4667,28.73,77,52,4.0,IN,1687492089
147,opuwo,-18.0607,13.84,12.6,25,0,2.56,NA,1687492090
148,saladan,7.6134,99.0365,29.42,64,100,4.16,TH,1687492090
149,kayangel,8.0823,134.7173,28.46,74,65,2.29,PW,1687492090
150,lerwick,60.1545,-1.1494,11.0,91,12,2.11,GB,1687492091
151,rongelap,11.1635,166.8941,28.01,79,97,7.52,MH,1687492091
152,taro,-8.3862,115.28,25.0,44,6,1.59,ID,1687492091
153,dodola,6.9833,39.1833,11.81,80,59,0.7,ET,1687492092
154,kenscoff,18.4506,-72.2869,20.08,79,98,5.66,HT,1687492092
155,usogorsk,63.4106,48.6872,14.19,47,60,1.65,RU,1687492092
156,iqaluit,63.7506,-68.5145,2.85,74,40,2.57,CA,1687492093
157,tomatlan,19.9333,-105.25,24.6,83,28,0.75,MX,1687492093
158,xilin hot,43.9667,116.0333,33.16,17,52,5.06,CN,1687492094
159,sao tome,0.3365,6.7273,24.02,88,75,6.17,ST,1687492094
160,zhangye,38.9342,100.4517,27.89,25,100,5.28,CN,1687492094
161,pombas,17.1503,-25.0201,23.88,82,28,4.35,CV,1687492094
162,pervomayskoye,43.919,46.7102,21.98,66,98,3.78,RU,1687492095
163,igarka,67.4667,86.5833,8.71,92,100,3.25,RU,1687492095
